audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status,_source_file,_batch_id,incident_id,incident_date,incident_type,severity,description,root_cause,response_time_hours,decision,decision_reason
,SITE-004,,,84.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01196,2026-10-18T00:00:00Z,Near Miss,Low,Save town cause question board Congress public seem matter age city believe.,,10.9,rejected,hard rule failure: no_future_incidents
,SITE-004,,,84.1,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03678,2026-09-28T00:00:00Z,Fire,Low,Nation better prove window turn identify either our.,Corrosion,6.4,rejected,hard rule failure: no_future_incidents
,SITE-005,,,38.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02575,2026-11-02T00:00:00Z,Near Miss,Critical,Side arrive end Congress cultural civil commercial laugh in page of yet worker follow only PM.,Valve Failure,9.8,rejected,hard rule failure: no_future_incidents
,SITE-001,,,89.4,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01226,2026-10-14T00:00:00Z,,Low,Site garden but just now out Democrat agreement.,Valve Failure,11.4,rejected,hard rule failure: no_future_incidents
,SITE-004,,,60.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03334,2026-09-10T00:00:00Z,Fire,High,Seem include three too.,Corrosion,3.2,rejected,hard rule failure: no_future_incidents
,SITE-002,,,51.8,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00325,2026-10-04T00:00:00Z,Spill,High,Ball maybe green wish impact east play may various design will bar article present bag.,Material Fatigue,6.8,rejected,hard rule failure: no_future_incidents
,SITE-001,,,72.8,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03129,2026-09-13T00:00:00Z,Spill,High,Stop own night drug participant air late speak explain help learn box investment send.,Valve Failure,7.6,rejected,hard rule failure: no_future_incidents
,SITE-002,,,86.6,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02842,2026-09-09T00:00:00Z,Near Miss,Low,Drive just research though body course now but street become conference surface.,Valve Failure,6.8,rejected,hard rule failure: no_future_incidents
,SITE-006,,,44.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03792,2026-09-23T00:00:00Z,Equipment Failure,Critical,Wide boy increase evening someone test.,Sensor Malfunction,12.8,rejected,hard rule failure: no_future_incidents
,SITE-004,,,71.8,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04330,2026-10-19T00:00:00Z,Equipment Failure,Medium,Practice movie president training race worker.,Material Fatigue,19.2,rejected,hard rule failure: no_future_incidents
,SITE-002,,,73.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03967,2026-10-03T00:00:00Z,Leak,Medium,There receive pay single central area once listen subject rock discover consider me I.,Third-party Damage,14.9,rejected,hard rule failure: no_future_incidents
,SITE-005,,,33.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00977,2026-09-01T00:00:00Z,Equipment Failure,Critical,Democratic stop its keep decide item.,Material Fatigue,4.1,rejected,hard rule failure: no_future_incidents
,SITE-001,,,79.9,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00299,2026-09-01T00:00:00Z,Near Miss,Medium,Require push trade free personal artist.,Operator Error,5.3,rejected,hard rule failure: no_future_incidents
,SITE-001,,,71.0,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03777,2026-10-15T00:00:00Z,Equipment Failure,Medium,Career hand issue possible kitchen foreign bring born around most civil agency.,Valve Failure,9.7,rejected,hard rule failure: no_future_incidents
